Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/sbin/nologin,7,365,,YES,OK,Regular,"OK"
systemd-coredump,999,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
systemd-resolve,193,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
polkitd,998,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
unbound,997,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
sssd,996,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
chrony,995,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
splunk,899,/bin/bash,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
E40008430,1000,/bin/bash,7,365,,YES,OK,Regular,"OK"
gitlab-runner,1003,/bin/bash,7,365,,YES,OK,Regular,"OK"
sisips,1004,/bin/bash,0,99999,,YES,OK,Regular,"MinPwdAge_NOT_SET"
dcscaf,1006,/sbin/nologin,7,365,,YES,OK,Regular,"OK"
nrpe,898,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
