user,uid,gid,threshold_days,days_since_last_activity,last_login,last_password_change,activity_source,status,account_state,shell,home
"vmware","1000","1000","90","636","2024-01-10 12:00:46","2016-04-07 00:00:00","login","STALE","NORMAL","/bin/bash","/users/vmware"
"dmechain","1332","200","90","74","2025-07-25 15:14:55","2021-01-12 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/dmechain"
"ecadic","208","200","90","315","2024-11-26 17:44:13","Never","login","STALE","NORMAL","/bin/bash","/home/ecadic"
"fdeweulf","1660","200","90","319","2024-11-22 13:44:07","2021-01-12 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/fdeweulf"
"C95013195","1833","200","90","965","2023-02-15 18:21:35","Never","login","STALE","NORMAL","/bin/bash","/home/C95013195"
"lbretin","501550","10576","90","1016","2022-12-27 09:25:43","2021-01-12 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/lbretin"
"E40053076","1744","10576","90","0","2025-10-08 10:19:05","2021-01-12 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/E40053076"
"plebret1","1827","10576","90","1531","2021-07-30 10:30:50","2021-01-12 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/plebret1"
"nteisser","1495","2506","90","37","2025-09-01 11:07:18","2022-06-15 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/nteisser"
"olafourc","4012","200","90","1202","Never","2022-06-24 00:00:00","pass_change","LOCKED","LOCKED","/bin/bash","/home/olafourc"
"jcazemaj","1454","200","90","1065","2022-11-07 15:54:02","2022-06-24 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/jcazemaj"
"e40010771","4013","10000","90","267","2025-01-13 15:04:54","2022-10-06 00:00:00","login","STALE","NORMAL","/bin/bash","/accts/e40010771"
"C95026223","1870","200","90","720","2023-10-18 14:05:38","2022-06-24 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/C95026223"
"fr-726-ansible","1868","200","90","0","2025-10-08 12:10:54","2023-04-20 00:00:00","login","OK","NORMAL","/bin/bash","/home/fr-726-ansible"
"embusch","19000","10576","90","888","2023-05-03 21:13:41","2023-04-20 00:00:00","login","STALE","NORMAL","/bin/bash","/home/embusch"
"oantoine","10582","10576","90","809","2023-07-21 14:47:56","2023-04-20 00:00:00","login","STALE","NORMAL","/bin/bash","/home/oantoine"
"ppvelus9","19001","10576","90","797","2023-08-03 10:51:35","2023-04-21 00:00:00","login","STALE","NORMAL","/bin/bash","/home/ppvelus9"
"fperez","19001","10576","90","797","2023-08-03 10:51:35","2022-06-24 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/fperez"
"flescuye","19001","10576","90","797","2023-08-03 10:51:35","2022-06-24 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/flescuye"
"fwandels","1465","10576","90","71","2025-07-28 15:14:39","2022-06-24 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/fwandels"
"scavaill","1791","10576","90","1202","Never","2022-06-24 00:00:00","pass_change","LOCKED","LOCKED","/bin/bash","/home/scavaill"
"C90402784","1878","10576","90","71","2025-07-28 16:11:12","2022-06-24 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/C90402784"
"fblanche","1512","10576","90","435","2024-07-29 16:47:53","2022-06-24 00:00:00","login","LOCKED","LOCKED","/bin/bash","/home/fblanche"
"C95046141","1885","10576","90","0","2025-10-08 10:29:00","Never","login","OK","NORMAL","/bin/bash","/home/C95046141"
"sisips","19002","10601","90","316","Never","2024-11-26 00:00:00","pass_change","LOCKED","LOCKED","/bin/bash","/opt/Symantec/sdcssagent/IPS"
"e40014808","19004","10000","90","9","2025-09-29 10:54:54","2025-02-10 00:00:00","login","OK","NORMAL","/bin/bash","/accts/e40014808"
"E10687444","19005","10000","90","97","2025-07-02 15:20:12","2025-07-01 00:00:00","login","STALE","NORMAL","/bin/bash","/accts/E10687444"
